"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"1";"14";"false";"19.345200000000002";"70";"increase";"30.201";"19.345200000000002";"#000000";"10.1802";"21.303689999999996";"#000000";"1.958489999999999"
"1";"15";"false";"19.345200000000002";"70";"decrease";"13.354";"19.345200000000002";"#000000";"36.755880000000005";"23.69787";"#000000";"4.3526700000000025"
"1";"16";"false";"36.755880000000005";"11";"decrease";"48.128";"36.755880000000005";"#000000";"69.936";"33.180120000000045";"#000000";"-3.5757599999999616"
"1";"17";"false";"36.755880000000005";"11";"increase";"15.984";"36.755880000000005";"#000000";"19.345200000000002";"37.723140000000036";"#000000";"0.9672600000000401"
"1";"18";"false";"5.358";"11";"increase";"12.631";"5.358";"#000000";"1.5510000000000002";"5.569500000000006";"#000000";"0.21150000000000552"
"1";"19";"false";"5.358";"11";"decrease";"12.315";"5.358";"#000000";"10.1802";"7.903050000000005";"#000000";"2.545050000000006"
"1";"20";"false";"36.755880000000005";"70";"decrease";"38.103";"36.755880000000005";"#000000";"69.936";"33.180120000000045";"#000000";"-3.5757599999999616"
"1";"21";"false";"36.755880000000005";"70";"increase";"9.618";"36.755880000000005";"#000000";"19.345200000000002";"34.96644900000003";"#000000";"-1.7894309999999671"
"1";"22";"false";"19.345200000000002";"0";"increase";"20.157";"19.345200000000002";"#000000";"10.1802";"21.78732";"#000000";"2.442119999999999"
"1";"23";"false";"19.345200000000002";"0";"decrease";"35.417";"19.345200000000002";"#000000";"36.755880000000005";"16.927050000000005";"#000000";"-2.4181499999999976"
"1";"24";"false";"5.358";"11";"decrease";"14.487";"5.358";"#000000";"10.1802";"6.965400000000009";"#000000";"1.6074000000000084"
"1";"25";"false";"5.358";"11";"increase";"43.411";"5.358";"#000000";"1.5510000000000002";"4.765800000000004";"#000000";"-0.5921999999999962"
"1";"26";"false";"5.358";"0";"increase";"15.727";"5.358";"#000000";"1.5510000000000002";"5.301600000000004";"#000000";"-0.05639999999999504"
"1";"27";"false";"5.358";"0";"decrease";"23.885";"5.358";"#000000";"10.1802";"5.625900000000012";"#000000";"0.2679000000000112"
"1";"28";"false";"36.755880000000005";"40";"decrease";"21.492";"36.755880000000005";"#000000";"69.936";"32.26122300000004";"#000000";"-4.494656999999965"
"1";"29";"false";"36.755880000000005";"40";"increase";"36.886";"36.755880000000005";"#000000";"19.345200000000002";"31.290861000000028";"#000000";"-5.465018999999977"
"1";"30";"false";"19.345200000000002";"11";"increase";"18.702";"19.345200000000002";"#000000";"10.1802";"16.46739";"#000000";"-2.8778100000000006"
"1";"31";"false";"19.345200000000002";"11";"decrease";"27.98";"19.345200000000002";"#000000";"36.755880000000005";"19.345200000000006";"#000000";"2.504663143554353e-15"
