"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"2";"12";"false";"5.358";"70";"decrease";"44.049";"5.358";"#252525";"10.1802";"6.1617000000000095";"#d9d9d9";"0.8037000000000104"
"2";"13";"false";"5.358";"70";"increase";"75.415";"5.358";"#252525";"1.5510000000000002";"5.703450000000005";"#d9d9d9";"0.34545000000000514"
"2";"14";"false";"19.345200000000002";"11";"increase";"42.29";"19.345200000000002";"#252525";"10.1802";"19.852800000000002";"#525252";"0.5075999999999992"
"2";"15";"false";"19.345200000000002";"11";"decrease";"50.366";"19.345200000000002";"#252525";"36.755880000000005";"23.214240000000004";"#525252";"3.8690400000000023"
"2";"16";"false";"19.345200000000002";"70";"decrease";"55.49";"19.345200000000002";"#252525";"36.755880000000005";"21.279720000000008";"#d9d9d9";"1.9345200000000022"
"2";"17";"false";"19.345200000000002";"70";"increase";"849.53";"19.345200000000002";"#252525";"10.1802";"18.40191";"#d9d9d9";"-0.9432899999999982"
"2";"18";"false";"36.755880000000005";"11";"increase";"61.651";"36.755880000000005";"#252525";"19.345200000000002";"40.47983100000005";"#525252";"3.7239510000000475"
"2";"19";"false";"36.755880000000005";"11";"decrease";"86.52";"36.755880000000005";"#252525";"69.936";"36.85570800000005";"#525252";"0.09982800000004786"
"2";"20";"false";"5.358";"11";"decrease";"48.488";"5.358";"#252525";"10.1802";"4.688250000000009";"#525252";"-0.6697499999999907"
"2";"21";"false";"5.358";"11";"increase";"46.68";"5.358";"#252525";"1.5510000000000002";"5.1676500000000045";"#525252";"-0.1903499999999953"
"2";"22";"false";"36.755880000000005";"70";"increase";"54.175";"36.755880000000005";"#252525";"19.345200000000002";"34.04755200000003";"#d9d9d9";"-2.7083279999999696"
"2";"23";"false";"36.755880000000005";"70";"decrease";"116.791";"36.755880000000005";"#252525";"69.936";"45.12578100000007";"#d9d9d9";"8.36990100000007"
"2";"24";"false";"19.345200000000002";"0";"decrease";"21.272";"19.345200000000002";"#252525";"36.755880000000005";"22.246980000000004";"#252525";"2.9017800000000022"
"2";"25";"false";"19.345200000000002";"0";"increase";"21.76";"19.345200000000002";"#252525";"10.1802";"19.36917";"#252525";"0.02396999999999924"
"2";"26";"false";"5.358";"11";"increase";"33.131";"5.358";"#252525";"1.5510000000000002";"6.6411000000000024";"#525252";"1.2831000000000026"
"2";"27";"false";"5.358";"11";"decrease";"35.151";"5.358";"#252525";"10.1802";"5.625900000000012";"#525252";"0.2679000000000112"
"2";"28";"false";"5.358";"0";"decrease";"13.431";"5.358";"#252525";"10.1802";"5.22405000000001";"#252525";"-0.13394999999998963"
"2";"29";"false";"5.358";"0";"increase";"19.235";"5.358";"#252525";"1.5510000000000002";"4.695300000000002";"#252525";"-0.6626999999999971"
"2";"30";"false";"36.755880000000005";"40";"increase";"13.276";"36.755880000000005";"#252525";"19.345200000000002";"36.804243000000035";"#969696";"0.04836300000003756"
